A,B
Algeria,Algiers
Angola,Luanda
Benin,Porto-Novo
Botswana,Gaborone
Burkina Faso,Ouagadougou
Burundi,Bujumbura
Cameroon,Yaounde'
Cape Verde Islands,Praia
Central African Republic,Bangui
Chad ,N'Djamena
Comoros,Moroni
Congo,Brazzaville
Cote d'Ivoire,Abidjan
Djibouti,Djibouti
Egypt,Cairo
Equitorial Guinea,Malabo
Eritrea,Asmara
Ethiopia,Addis Ababa
Gabon,Libreville
Gambia,Banjul
Ghana,Accra
Guinea,Conakry
Guinea-Bissau,Bissau
Kenya,Nairobi
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Madagascar,Antananarivo
Malawi,Lilongwe
Mali,Bamako
Mauritania,Nouakchott
Mauritius,Port Louis
Morocco,Rabat
Mozambique,Maputo
Namibia,Windhoek
Niger,Niamey
Nigeria,Abuja
Rwanda,Kigali
Sao Tome' and Principe,Sao Tome'
Senegal,Dakar
Seychelles,Victoria
Sierra Leone,Freetown
Somalia,Mogadishu
South Africa,Pretoria
Sudan,Khartoum
Swaziland,Mbabane
Tanzania,Dar es Salaam & Dodoma
Togo,Lome'
Tunisia,Tunis
Uganda,Kampala
Democratic Republic of Congo (Zaire),Kinshasa
Zambia,Lusaka
Zimbabwe,Harare
