A,B
Albania,Tirane
Andorra,Andorra la Vella
Austria,Vienna
Belarus,Minsk
Belgium,Brussels
Bosnia-Herzegovina,Sarajevo
Bulgaria,Sofia
Croatia,Zagreb
Czech Republic,Prague
Cyprus,Nicosia
Denmark,Copenhagen
Estonia,Tallinn
Finland,Helsinki
France,Paris
Germany,Berlin
Greece,Athens
Hungary,Budapest
Iceland,Reykjavik
Ireland,Dublin
Italy,Rome
Latvia,Riga
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Macedonia,Skopje
Malta,Valletta
Moldova,Kishinev
Monaco,Monaco
Netherlands,Amsterdam
Norway,Oslo
Poland,Warsaw
Portugal,Lisbon
Romania,Bucharest
Russia,Moscow
San Marino,San Marino
Slovakia,Bratislava
Slovenia,Ljubljana
Spain,Madrid
Sweden,Stockholm
Switzerland,Bern
Ukraine,Kiev
United Kingdom,London
Vatican City,Vatican City
Yugoslavia,Belgrade
Armenia,Yerevan
Azerbaijan,Baku
Georgia,Tbilisi
